N      Time         Average_OB     Max_OB   Min_OB  
199    0.000000     100.00         199      1       
200    0.000000     100.50         200      1       
201    0.000000     101.00         201      1       
202    0.000000     101.50         202      1       
203    0.000000     102.00         203      1       
204    0.000000     102.50         204      1       
205    0.000000     103.00         205      1       
206    0.000000     103.50         206      1       
207    0.000000     104.00         207      1       
208    0.000000     104.50         208      1       
209    0.000000     105.00         209      1       
210    0.000000     105.50         210      1       
211    0.000000     106.00         211      1       
212    0.000000     106.50         212      1       
213    0.000000     107.00         213      1       
214    0.000000     107.50         214      1       
215    0.000000     108.00         215      1       
216    0.000000     108.50         216      1       
217    0.000000     109.00         217      1       
218    0.000000     109.50         218      1       
219    0.000000     110.00         219      1       
220    0.000000     110.50         220      1       
221    0.000000     111.00         221      1       
222    0.000000     111.50         222      1       
223    0.000000     112.00         223      1       
224    0.000000     112.50         224      1       
225    0.000000     113.00         225      1       
226    0.000000     113.50         226      1       
227    0.000000     114.00         227      1       
228    0.000000     114.50         228      1       
229    0.000000     115.00         229      1       
230    0.000000     115.50         230      1       
231    0.000000     116.00         231      1       
232    0.000000     116.50         232      1       
233    0.000000     117.00         233      1       
234    0.000000     117.50         234      1       
235    0.000000     118.00         235      1       
236    0.000000     118.50         236      1       
237    0.000000     119.00         237      1       
238    0.000000     119.50         238      1       
239    0.000000     120.00         239      1       
240    0.000000     120.50         240      1       
241    0.000000     121.00         241      1       
242    0.000000     121.50         242      1       
243    0.000000     122.00         243      1       
244    0.000000     122.50         244      1       
245    0.000000     123.00         245      1       
246    0.000000     123.50         246      1       
247    0.000000     124.00         247      1       
248    0.000000     124.50         248      1       
249    0.000000     125.00         249      1       
250    0.000000     125.50         250      1       
251    0.000000     126.00         251      1       
252    0.000000     126.50         252      1       
253    0.000000     127.00         253      1       
254    0.000000     127.50         254      1       
255    0.000000     128.00         255      1       
256    0.000000     128.50         256      1       
257    0.000000     129.00         257      1       
258    0.000000     129.50         258      1       
259    0.000000     130.00         259      1       
260    0.000000     130.50         260      1       
261    0.000000     131.00         261      1       
262    0.000000     131.50         262      1       
263    0.000000     132.00         263      1       
264    0.000000     132.50         264      1       
265    0.000000     133.00         265      1       
266    0.000000     133.50         266      1       
267    0.000000     134.00         267      1       
268    0.000000     134.50         268      1       
269    0.000000     135.00         269      1       
270    0.000000     135.50         270      1       
271    0.000000     136.00         271      1       
272    0.000000     136.50         272      1       
273    0.000000     137.00         273      1       
274    0.000000     137.50         274      1       
275    0.000000     138.00         275      1       
276    0.000000     138.50         276      1       
277    0.000000     139.00         277      1       
278    0.000000     139.50         278      1       
279    0.000000     140.00         279      1       
280    0.000000     140.50         280      1       
281    0.000000     141.00         281      1       
282    0.000000     141.50         282      1       
283    0.000000     142.00         283      1       
284    0.000000     142.50         284      1       
285    0.000000     143.00         285      1       
286    0.000000     143.50         286      1       
287    0.000000     144.00         287      1       
288    0.000000     144.50         288      1       
289    0.000000     145.00         289      1       
290    0.000000     145.50         290      1       
291    0.000000     146.00         291      1       
292    0.000000     146.50         292      1       
293    0.000000     147.00         293      1       
294    0.000000     147.50         294      1       
295    0.000000     148.00         295      1       
296    0.000000     148.50         296      1       
297    0.000000     149.00         297      1       
298    0.000000     149.50         298      1       
299    0.000000     150.00         299      1       
300    0.000000     150.50         300      1       
301    0.000000     151.00         301      1       
302    0.000000     151.50         302      1       
303    0.000000     152.00         303      1       
304    0.000000     152.50         304      1       
305    0.000000     153.00         305      1       
306    0.000000     153.50         306      1       
307    0.000000     154.00         307      1       
308    0.000000     154.50         308      1       
309    0.000000     155.00         309      1       
310    0.000000     155.50         310      1       
311    0.000000     156.00         311      1       
312    0.000000     156.50         312      1       
313    0.000000     157.00         313      1       
314    0.000000     157.50         314      1       
315    0.000000     158.00         315      1       
316    0.000000     158.50         316      1       
317    0.000000     159.00         317      1       
318    0.000000     159.50         318      1       
319    0.000000     160.00         319      1       
320    0.000000     160.50         320      1       
321    0.000000     161.00         321      1       
322    0.000000     161.50         322      1       
323    0.000000     162.00         323      1       
324    0.000000     162.50         324      1       
325    0.000000     163.00         325      1       
326    0.000000     163.50         326      1       
327    0.000000     164.00         327      1       
328    0.000000     164.50         328      1       
329    0.000000     165.00         329      1       
330    0.000000     165.50         330      1       
331    0.000000     166.00         331      1       
332    0.000000     166.50         332      1       
333    0.000000     167.00         333      1       
334    0.000000     167.50         334      1       
335    0.000000     168.00         335      1       
336    0.000000     168.50         336      1       
337    0.000000     169.00         337      1       
338    0.000000     169.50         338      1       
339    0.000000     170.00         339      1       
340    0.000000     170.50         340      1       
341    0.000000     171.00         341      1       
342    0.000000     171.50         342      1       
343    0.000000     172.00         343      1       
344    0.000000     172.50         344      1       
345    0.000000     173.00         345      1       
346    0.000000     173.50         346      1       
347    0.000000     174.00         347      1       
348    0.000000     174.50         348      1       
349    0.000000     175.00         349      1       
350    0.000000     175.50         350      1       
351    0.000000     176.00         351      1       
352    0.000000     176.50         352      1       
353    0.000000     177.00         353      1       
354    0.000000     177.50         354      1       
355    0.000000     178.00         355      1       
356    0.000000     178.50         356      1       
357    0.000000     179.00         357      1       
358    0.000000     179.50         358      1       
359    0.000000     180.00         359      1       
360    0.000000     180.50         360      1       
361    0.000000     181.00         361      1       
362    0.000000     181.50         362      1       
363    0.000000     182.00         363      1       
364    0.000000     182.50         364      1       
365    0.000000     183.00         365      1       
366    0.000000     183.50         366      1       
367    0.000000     184.00         367      1       
368    0.000000     184.50         368      1       
369    0.000000     185.00         369      1       
370    0.000000     185.50         370      1       
371    0.000000     186.00         371      1       
372    0.000000     186.50         372      1       
373    0.000000     187.00         373      1       
374    0.000000     187.50         374      1       
375    0.000000     188.00         375      1       
376    0.000000     188.50         376      1       
377    0.000000     189.00         377      1       
378    0.000000     189.50         378      1       
379    0.000000     190.00         379      1       
380    0.000000     190.50         380      1       
381    0.000000     191.00         381      1       
382    0.000000     191.50         382      1       
383    0.000000     192.00         383      1       
384    0.000000     192.50         384      1       
385    0.000000     193.00         385      1       
386    0.000000     193.50         386      1       
387    0.000000     194.00         387      1       
388    0.000000     194.50         388      1       
389    0.000000     195.00         389      1       
390    0.000000     195.50         390      1       
391    0.000000     196.00         391      1       
392    0.000000     196.50         392      1       
393    0.000000     197.00         393      1       
394    0.000000     197.50         394      1       
395    0.000000     198.00         395      1       
396    0.000000     198.50         396      1       
397    0.000000     199.00         397      1       
398    0.000000     199.50         398      1       
399    0.000000     200.00         399      1       
400    0.000000     200.50         400      1       
401    0.000000     201.00         401      1       
402    0.000000     201.50         402      1       
403    0.000000     202.00         403      1       
404    0.000000     202.50         404      1       
405    0.000000     203.00         405      1       
406    0.000000     203.50         406      1       
407    0.000000     204.00         407      1       
408    0.000000     204.50         408      1       
409    0.000000     205.00         409      1       
410    0.000000     205.50         410      1       
411    0.000000     206.00         411      1       
412    0.000000     206.50         412      1       
413    0.000000     207.00         413      1       
414    0.000000     207.50         414      1       
415    0.000000     208.00         415      1       
416    0.000000     208.50         416      1       
417    0.000000     209.00         417      1       
418    0.000000     209.50         418      1       
419    0.000000     210.00         419      1       
420    0.000000     210.50         420      1       
421    0.000000     211.00         421      1       
422    0.000000     211.50         422      1       
423    0.000000     212.00         423      1       
424    0.000000     212.50         424      1       
425    0.000000     213.00         425      1       
426    0.000000     213.50         426      1       
427    0.000000     214.00         427      1       
428    0.000000     214.50         428      1       
429    0.000000     215.00         429      1       
430    0.000000     215.50         430      1       
431    0.000000     216.00         431      1       
432    0.000000     216.50         432      1       
