N      Time         Average_OB     Max_OB   Min_OB  
1      0.000006     0.00           0        0       
31     0.000165     224.77         289      143     
61     0.000536     872.71         1039     697     
91     0.001129     1975.21        2308     1633    
121    0.001819     3508.09        4143     2677    
151    0.002809     5440.53        6378     4591    
181    0.003562     7866.54        9071     6321    
211    0.003595     10681.83       11696    9530    
241    0.003936     13892.79       15507    12315   
271    0.003221     17607.83       19597    15562   
301    0.003517     21766.78       24056    19691   
331    0.004842     26314.35       30089    23283   
361    0.004915     31191.52       34001    28649   
391    0.005674     36600.37       40631    33857   
421    0.007098     42664.44       45977    38009   
451    0.007800     48713.36       53340    45286   
481    0.008845     55216.27       60050    48777   
511    0.010112     62826.83       67231    58589   
541    0.011958     70308.07       75693    66557   
571    0.012662     78258.56       82450    72235   
601    0.013569     86331.91       91717    80872   
631    0.015087     95507.76       101639   89912   
661    0.016410     104649.13      111366   97151   
691    0.017988     114654.60      123974   107205  
721    0.019810     124458.97      134125   117784  
751    0.021573     135127.68      141747   122963  
781    0.023148     146496.65      155309   138389  
811    0.025248     157288.63      167423   148605  
841    0.026707     169668.36      178009   160615  
871    0.028755     182324.29      197224   170269  
901    0.031607     194901.57      206989   184560  
931    0.031681     207648.63      217033   198087  
961    0.034125     221771.53      238385   206519  
991    0.037981     236167.83      248313   224851  
1021   0.038388     250635.05      260727   238131  
1051   0.041206     264652.09      277087   251800  
1081   0.043642     279938.54      294839   266381  
1111   0.047407     297086.21      318823   282741  
1141   0.048234     312818.63      328373   292738  
1171   0.050022     328091.25      346476   307290  
1201   0.054688     346838.60      363792   331212  
1231   0.059092     364843.41      389358   345568  
1261   0.060473     382772.59      402711   364163  
1291   0.063109     400642.47      422070   381613  
1321   0.067188     419935.13      438300   394914  
1351   0.068949     438629.10      456357   423919  
1381   0.071139     458864.61      480109   438753  
1411   0.074196     476377.49      506998   455256  
1441   0.078860     499223.22      525480   476111  
1471   0.081189     517954.87      539690   498436  
1501   0.084113     541570.24      566879   515479  
1531   0.086344     563318.16      593781   527971  
1561   0.092480     585748.71      620055   560225  
1591   0.094050     609119.81      641315   582771  
1621   0.100138     631587.80      656256   601163  
1651   0.101367     657313.65      685701   629564  
1681   0.105076     678259.54      706447   648346  
1711   0.110162     703692.05      729200   678400  
1741   0.113652     727817.33      756069   703405  
1771   0.117214     750853.75      775396   710531  
1801   0.121209     778015.32      819462   747172  
1831   0.122551     804448.59      828105   772557  
1861   0.126246     830864.65      870553   801231  
1891   0.130078     859208.06      886860   827118  
1921   0.136594     887489.51      939014   848003  
1951   0.140082     913491.12      940969   883211  
1981   0.143912     942535.17      985031   903246  
2011   0.148433     969719.16      1004213  904077  
2041   0.154446     999487.86      1049438  967438  
2071   0.158265     1029749.85     1075928  994988  
2101   0.165755     1057899.65     1098035  1014824 
2131   0.168914     1091960.37     1128585  1058425 
2161   0.176322     1122729.47     1174437  1068982 
2191   0.178505     1152898.06     1203209  1110705 
2221   0.181672     1184030.65     1223677  1139439 
2251   0.184979     1215468.46     1256269  1163493 
2281   0.192202     1249820.93     1289108  1210199 
2311   0.195919     1285531.80     1324828  1230491 
2341   0.199665     1313989.29     1368706  1263203 
2371   0.203985     1349701.37     1399482  1307707 
2401   0.209813     1384415.72     1434463  1335368 
2431   0.213533     1419917.35     1464148  1373116 
2461   0.220159     1455960.33     1499319  1403742 
2491   0.226834     1491522.07     1536241  1441293 
2521   0.233307     1529449.49     1594613  1470375 
2551   0.237913     1561216.11     1606740  1501887 
2581   0.242616     1599672.22     1670663  1533420 
2611   0.246120     1634264.63     1690657  1581144 
2641   0.253773     1677179.14     1740183  1622718 
2671   0.259806     1713218.95     1776906  1665640 
2701   0.270172     1753630.08     1800044  1692747 
2731   0.273542     1785619.14     1832644  1737609 
2761   0.283459     1837022.20     1889105  1776064 
2791   0.289812     1871611.05     1936260  1818071 
2821   0.292013     1911961.71     1976399  1847283 
2851   0.298703     1956630.99     2016801  1888411 
2881   0.307076     1992791.50     2047718  1939820 
2911   0.315415     2037955.82     2102560  1978895 
2941   0.322093     2079611.43     2124370  2023913 
2971   0.326771     2128638.99     2191718  2046898 
3001   0.334716     2160416.92     2216400  2086803 
3031   0.338237     2209123.26     2273515  2123233 
3061   0.347533     2249383.00     2312631  2172169 
3091   0.355241     2293948.66     2347835  2214345 
3121   0.366654     2342150.47     2424622  2287728 
3151   0.363987     2387864.37     2451295  2330069 
3181   0.367395     2431004.87     2504475  2363901 
3211   0.369613     2477907.39     2573430  2412227 
3241   0.379337     2528473.63     2589226  2470739 
3271   0.386386     2572276.18     2634039  2490540 
3301   0.389683     2619964.78     2681221  2530432 
3331   0.406099     2663698.05     2731961  2567603 
3361   0.418682     2713450.70     2800731  2633103 
3391   0.422195     2758828.33     2829848  2662323 
3421   0.425313     2815151.11     2912995  2709139 
3451   0.433265     2869708.16     2973915  2785698 
3481   0.432509     2911480.84     2977412  2830812 
3511   0.439827     2963720.21     3026894  2868616 
3541   0.452728     3009609.93     3097395  2928520 
3571   0.462700     3064540.87     3151091  2964995 
3601   0.478205     3116263.25     3187977  3031322 
3631   0.480072     3169977.67     3268689  3077267 
3661   0.494873     3220691.21     3286594  3129245 
3691   0.499523     3274036.55     3359303  3180444 
3721   0.513754     3328215.20     3416807  3238834 
3751   0.514543     3377965.12     3467650  3279665 
3781   0.519034     3438331.90     3531789  3343904 
3811   0.535663     3495605.77     3592800  3422610 
3841   0.543130     3535872.53     3676348  3439459 
3871   0.548298     3589439.79     3684097  3472545 
3901   0.557782     3658903.04     3747562  3547262 
3931   0.566427     3714948.93     3807842  3605730 
3961   0.569333     3766955.02     3867920  3671134 
3991   0.579422     3826674.63     3948880  3687443 
