N      Time         Average_OB     Max_OB   Min_OB  
1      0.000005     0.00           0        0       
21     0.000454     200.04         210      132     
41     0.000958     798.86         820      729     
61     0.001789     1790.18        1830     1640    
81     0.003091     3184.54        3240     2964    
101    0.004769     4982.22        5050     4644    
121    0.007415     7157.65        7260     6357    
141    0.013190     9785.25        9870     9309    
161    0.016718     12745.22       12880    12319   
181    0.020855     16148.84       16290    15162   
201    0.017069     19942.67       20100    19280   
221    0.014198     24109.15       24310    23449   
241    0.014662     28761.20       28919    28179   
261    0.016133     33720.32       33930    33227   
281    0.018644     39159.67       39340    38350   
301    0.020904     44850.87       45150    43824   
321    0.023417     51091.49       51357    49820   
341    0.026491     57627.05       57970    56430   
361    0.029497     64702.70       64980    64077   
381    0.029652     72114.60       72390    71214   
401    0.033712     79828.79       80200    78247   
421    0.035641     87973.34       88409    86064   
441    0.038350     96640.16       97020    94535   
461    0.041557     105685.84      106030   104014  
481    0.045345     115025.83      115440   112514  
501    0.048342     124775.31      125249   122904  
521    0.058094     135072.60      135457   133975  
541    0.061752     145644.13      146070   144417  
561    0.067249     156640.73      157080   154734  
581    0.071912     167908.54      168484   164395  
601    0.080749     179699.23      180299   176814  
621    0.083952     191934.99      192510   189507  
641    0.114388     204582.23      205120   203040  
661    0.099447     217525.43      218130   215280  
681    0.122372     230947.74      231519   228839  
701    0.101016     244764.77      245350   241522  
721    0.103419     259021.88      259560   257145  
741    0.109172     273469.21      274167   271824  
761    0.110522     288551.26      289177   283927  
781    0.111564     303892.09      304587   301815  
801    0.118139     319707.84      320400   316997  
821    0.127363     335943.68      336610   333760  
841    0.133669     352374.63      353219   349392  
861    0.136470     369460.09      370227   366489  
881    0.139848     386802.00      387640   383269  
901    0.148661     404523.04      405449   401079  
921    0.153655     422886.93      423654   420810  
941    0.160142     441423.89      442270   438949  
961    0.168245     460356.60      461270   457185  
981    0.181757     479889.85      480675   477530  
1001   0.178976     499604.81      500485   494935  
1021   0.186445     519753.72      520682   515354  
1041   0.197935     540240.64      541314   536855  
1061   0.198672     561360.04      562324   559090  
1081   0.219024     582764.14      583739   578987  
1101   0.226538     604487.78      605540   601545  
1121   0.229513     626555.07      627759   621765  
1141   0.240888     649337.22      650349   644910  
1161   0.256824     672475.23      673380   669285  
1181   0.253326     695536.05      696780   689769  
1201   0.271997     719605.82      720597   715749  
1221   0.279357     743778.02      744795   739659  
1241   0.281258     768199.30      769410   764569  
1261   0.285700     793270.23      794415   786680  
1281   0.300557     818703.49      819839   812580  
1301   0.317769     844747.15      845647   839545  
1321   0.322963     870741.54      871859   867107  
1341   0.334180     897432.69      898469   894554  
1361   0.340919     924176.71      925474   916435  
1381   0.340255     951448.03      952875   945869  
1401   0.356008     979530.35      980699   973197  
1421   0.377858     1007478.97     1008910  998470  
1441   0.375712     1036330.23     1037499  1031742 
1461   0.389666     1065204.51     1066529  1057752 
1481   0.393389     1094779.24     1095940  1087162 
1501   0.408011     1124583.65     1125744  1119309 
1521   0.418640     1154418.07     1155957  1150074 
1541   0.425974     1185410.64     1186569  1182105 
1561   0.447258     1216163.85     1217559  1211475 
1581   0.444756     1247382.21     1248989  1240734 
1601   0.462401     1279162.44     1280797  1270789 
1621   0.467337     1311442.93     1313009  1305750 
1641   0.465794     1344041.07     1345617  1334889 
1661   0.498155     1377093.24     1378615  1369984 
1681   0.517567     1410450.77     1412037  1404780 
1701   0.510708     1444395.96     1445784  1439409 
1721   0.523792     1478516.92     1480059  1473274 
1741   0.534312     1513056.47     1514642  1504517 
1761   0.552610     1547874.27     1549670  1538204 
1781   0.560960     1583254.44     1585069  1575220 
1801   0.586514     1618967.78     1620900  1610022 
1821   0.600477     1655522.77     1657110  1650894 
1841   0.605996     1691868.91     1693705  1685074 
1861   0.608260     1729067.29     1730730  1722474 
1881   0.628082     1766255.17     1768134  1756815 
1901   0.653856     1804064.20     1805949  1797694 
1921   0.654508     1842225.96     1844024  1837257 
1941   0.666227     1880668.29     1882770  1874642 
1961   0.698227     1920062.70     1921770  1912464 
1981   0.705711     1959353.59     1961184  1946825 
