N      Time         Average_OB     Max_OB   Min_OB  
1      0.002503     0.00           0        0       
2      0.007519     1.00           1        1       
3      0.010104     2.85           3        2       
4      0.009117     5.59           6        3       
5      0.011054     9.26           10       4       
6      0.014106     13.88          15       5       
7      0.019514     19.45          21       6       
8      0.025678     25.99          28       7       
9      0.033003     33.48          36       15      
10     0.038831     41.96          45       17      
11     0.049660     51.43          55       19      
12     0.056429     61.87          66       21      
13     0.068138     73.31          78       33      
14     0.080970     85.68          91       36      
15     0.096545     99.07          105      50      
16     0.106257     113.48         120      42      
17     0.120741     128.87         136      70      
18     0.135469     145.20         153      75      
19     0.150924     162.54         171      93      
20     0.157418     180.90         190      99      
