N      Time         Average_OB     Max_OB   Min_OB  
1      0.000031     0.00           0        0       
21     0.003141     200.50         210      132     
41     0.006257     795.97         820      667     
61     0.012397     1791.20        1830     1554    
81     0.021214     3187.67        3240     2775    
101    0.018479     4977.40        5050     4522    
121    0.025369     7169.70        7260     6557    
141    0.034026     9761.51        9870     9204    
161    0.041719     12752.16       12880    12060   
181    0.050117     16145.97       16290    15065   
201    0.060022     19947.96       20100    18774   
221    0.070506     24147.16       24310    22540   
241    0.081351     28727.92       28920    27324   
261    0.093480     33716.47       33930    32219   
281    0.108049     39101.10       39340    37570   
301    0.121411     44889.29       45150    43005   
321    0.135317     51085.10       51360    49764   
341    0.152101     57686.86       57970    56374   
361    0.166865     64672.89       64980    62702   
381    0.183114     72076.76       72390    69975   
401    0.202484     79841.81       80200    78120   
421    0.220938     88040.36       88410    84924   
441    0.241547     96634.87       97020    94392   
461    0.261531     105655.51      106030   102627  
481    0.283524     115003.68      115440   112037  
501    0.306243     124794.54      125250   122169  
521    0.327379     135026.26      135460   132379  
541    0.351705     145592.80      146070   143514  
561    0.376091     156571.51      157080   153594  
581    0.401643     167988.46      168490   165087  
601    0.429036     179741.14      180300   176114  
621    0.459253     191930.55      192510   188232  
641    0.488546     204538.05      205120   201292  
661    0.513198     217517.85      218130   213080  
681    0.543374     230948.63      231540   225762  
701    0.573315     244729.41      245350   240979  
721    0.604551     258927.68      259560   253455  
741    0.641354     273550.94      274170   269984  
761    0.671115     288513.75      289180   284230  
781    0.703311     303886.68      304590   300030  
801    0.740365     319697.06      320400   316122  
821    0.774906     335896.52      336610   331560  
841    0.816218     352487.66      353220   348170  
861    0.851629     369421.54      370229   363327  
881    0.890254     386843.34      387640   381754  
901    0.936753     404664.71      405450   399779  
921    0.969896     422831.46      423659   417332  
941    1.000421     441441.14      442270   436705  
961    1.060952     460400.49      461280   455715  
981    1.089579     479823.06      480690   474249  
