N      Time         Average_OB     Max_OB   Min_OB  
1      0.002595     0.00           0        0       
2      0.005261     1.00           1        1       
3      0.013126     2.67           3        2       
4      0.012974     4.88           6        3       
5      0.009803     7.62           10       4       
6      0.013857     10.87          15       5       
7      0.017376     14.62          21       6       
8      0.019647     18.87          28       7       
9      0.021486     23.62          36       8       
10     0.024664     28.87          45       11      
11     0.030268     34.57          55       10      
12     0.029797     40.82          65       15      
13     0.032719     47.55          76       15      
14     0.040676     54.66          86       21      
15     0.046309     62.44          101      24      
16     0.048800     70.61          115      26      
17     0.052898     79.18          126      35      
18     0.058245     88.29          137      40      
19     0.063774     98.00          152      41      
20     0.068726     108.06         167      47      
