N      Time         Average_OB     Max_OB   Min_OB  
1      0.000006     0.00           0        0       
21     0.000120     119.35         153      78      
41     0.000386     432.27         545      319     
61     0.000549     934.07         1097     742     
81     0.000908     1640.68        1879     1350    
101    0.001846     2526.30        2991     2174    
121    0.001715     3643.10        4056     3117    
141    0.002458     4940.58        5566     4169    
161    0.002931     6345.53        7155     5463    
181    0.003463     8088.11        9393     7489    
201    0.005001     9942.51        11113    8473    
221    0.005507     11818.71       12822    10514   
241    0.010373     14153.04       15384    13046   
261    0.009738     16603.87       18098    14709   
281    0.009763     19118.55       21632    17187   
301    0.009377     22185.42       24141    19579   
321    0.008188     24963.17       27138    23042   
341    0.008018     28259.75       30582    26388   
361    0.009008     31675.93       34668    29119   
381    0.010103     35293.31       37793    32140   
401    0.011505     38934.10       43911    35957   
421    0.012109     43041.24       46104    40033   
441    0.013084     47222.57       51048    43178   
461    0.014036     51303.09       56759    47744   
481    0.015680     56120.03       60683    51333   
501    0.017831     60885.20       65112    55816   
521    0.017406     65871.87       73146    60127   
541    0.018619     70562.76       78294    65166   
561    0.019768     75907.12       80778    68818   
581    0.020744     81633.46       87845    74869   
601    0.023812     87260.46       94494    80219   
621    0.024594     92978.24       98141    86441   
641    0.025283     98926.25       104516   90650   
661    0.026697     105622.81      112413   98908   
681    0.028031     112083.25      120083   104260  
701    0.031754     118952.11      125436   111615  
721    0.033133     124658.91      133433   118523  
741    0.039088     133279.40      139966   125327  
761    0.038001     139340.75      147546   130687  
781    0.040477     146859.94      155224   135151  
801    0.043569     155335.92      163830   146056  
821    0.044093     162464.95      180737   153399  
841    0.048042     170531.22      181042   158973  
861    0.048696     178364.17      188523   166821  
881    0.052112     187331.98      198110   175501  
901    0.053887     195886.23      205101   185610  
921    0.056395     204217.39      217241   190446  
941    0.059445     214079.48      226846   204111  
961    0.061242     223196.55      238133   210029  
981    0.062868     231991.30      243279   219019  
1001   0.065606     242231.63      253831   230909  
1021   0.067626     251295.62      264621   233760  
1041   0.071121     260724.37      273793   247873  
1061   0.070139     270631.63      287520   254557  
1081   0.068963     281421.79      295979   263973  
1101   0.074457     292184.10      306827   275123  
1121   0.074997     302781.24      320153   285310  
1141   0.078524     313893.31      328535   299227  
1161   0.087673     325046.83      345986   307086  
1181   0.090387     337548.61      353683   322575  
1201   0.091512     347521.07      361513   321904  
1221   0.095764     358796.09      373991   343456  
1241   0.094272     371475.35      393909   350686  
1261   0.103034     382472.83      402093   359769  
1281   0.098675     394103.48      417631   375657  
1301   0.103443     410152.85      428870   392047  
1321   0.103513     421114.16      437251   400703  
1341   0.108906     432970.97      462544   412882  
1361   0.114639     447111.68      467271   427338  
1381   0.121019     459844.14      482283   440066  
1401   0.119070     472040.30      493412   445962  
1421   0.124910     485909.37      503162   463350  
1441   0.124202     500344.17      532926   473881  
1461   0.130919     514376.12      538283   492374  
1481   0.134743     527465.10      549668   497732  
1501   0.142248     541622.29      569340   515263  
1521   0.144213     558717.92      586743   533870  
1541   0.142974     570786.96      588378   547491  
1561   0.155454     587597.86      605046   569761  
1581   0.157048     601732.41      631302   580117  
1601   0.158438     617947.65      647284   596828  
1621   0.157556     631244.51      664922   600940  
1641   0.168375     646785.00      671803   623697  
1661   0.178141     665152.30      691266   637302  
1681   0.175100     679598.16      711070   648795  
1701   0.179142     697079.82      723636   670162  
1721   0.182676     713346.98      740833   681265  
1741   0.188999     730066.91      762235   690442  
1761   0.190096     745009.40      783374   704881  
1781   0.190254     763186.55      794549   733406  
1801   0.204870     781596.19      807211   756954  
1821   0.201937     797946.39      832556   769248  
1841   0.211349     815950.40      844233   778746  
1861   0.218228     832732.82      859743   804138  
1881   0.215792     850639.46      889482   822496  
1901   0.218313     869010.49      909716   834716  
1921   0.232362     886958.60      924376   856098  
1941   0.238239     909785.59      947546   870517  
1961   0.232365     926869.32      960994   894731  
1981   0.249240     945507.62      988650   901365  
